feature,importance
failure_code_bank_timeout,0.1381243415696841
failure_code_temporary_bank_failure,0.07719231752417167
average_transaction_value,0.07637411228611442
amount,0.07630424474220603
order_value,0.0745032766336123
customer_age_days,0.06949591694884623
prior_failure_count,0.06311910473172884
prior_success_count,0.062154524702079716
failure_code_limit_exceeded,0.05775172445085502
failure_code_fraud_suspected,0.04854466342443906
days_since_last_payment,0.048080493056287504
failure_code_insufficient_funds,0.037800447265125346
previous_recovery_count,0.031376225365096024
retry_count,0.02694180684320052
failure_code_authentication_failed,0.018785083983494218
subscription_flag,0.01522872676877768
payment_method_upi,0.007878376171400015
currency_USD,0.007486802672705668
payment_method_netbanking,0.0071738400308678325
payment_method_card,0.007089169973536353
merchant_segment_mid_market,0.006822712179178194
payment_method_wallet,0.006754007413855288
checkout_completed,0.006728882332070523
currency_INR,0.006489914488041205
merchant_segment_ecommerce,0.006404912924291708
merchant_segment_smb_saas,0.0061018163716439495
merchant_segment_enterprise,0.004741091355477324
merchant_segment_high_value,0.004551463791213375
